id,title,url,image
14095,IIM Lucknow (Noida Campus),https://iiml.ac.in,null
21806,Swamy Vivekananda Engineering College Vizianagaram,https://gmail.com,null
19826,Azeezia Nursing College Kollam,https://azeezia.com,null
19774,Terna Dental College Navi Mumbai,https://hotmail.com,null
21252,Sanjaybhai Rajguru Education Zone Rajkot,https://srez.edu.in,null
13703,Beehive Ayurvedic Medical College & Hospital Dehradun,https://beehivecollege.com,null
20021,Sikkim Manipal College of Nursing Gangtok,https://smu.edu.in,null
18906,Rizvi Law College Mumbai,https://law.rizvi.edu.in,null
18722,Arunodaya Institute of Legal Studies Bangalore,https://arunodayainstitute.com,null
14858,CMRB Government Polytechnic College Sriganganagar,https://gmail.com,null
16847,Prabhu Narayan Singh Maha Vidyalaya Ghazipur,https://collegedunia.com/college/3446-prabhu-narayan-singh-maha-vidyalaya-ghazipur,null
18048,School of AgriBusiness Management Nagpur,https://gmail.com,null
9637,Loyola Institute of Technology and Management Guntur,https://rediffmail.com,null
14539,Government Women's Polytechnic Patna,https://nic.in,null
14481,DDE Kashmir University,https://uok.edu.in,null
17349,St. Raymond's College Vamanjoor Mangalore,https://gmail.com,null
16931,Ramgarh College,https://yahoo.com,null
14179,Sikkim State University Gangtok,https://gmail.com,null
14163,Karnataka State Dr. Gangubhai Hangal Music and Performing Arts University Mysore,https://gmail.com,null
14194,Kamdhenu University Gandhinagar,"https://ku-guj.com,",null
14170,Aerofalcons Aviation Services & Training Hyderabad,https://aerofalcons.in,null
9630,Leads Institute of Technology and Engineering Bharuch,https://leads-india.org,null
21805,Swami Vivekananda Institute of Science and Technology Kolkata,https://svist.org,null
14245,Acharya Polytechnic Bangalore,https://acharya.ac.in,null
16929,Ramdev Mahavidyalaya Jaunpur,https://yahoo.com,null
18934,Smt Shanti Devi Law College Rewari,https://gmail.com,null
18938,SDM Law College Kodialbail Mangalore,https://gmail.com,null
18732,B.S.M. Law College Roorkee,https://gmail.com,null
21666,Spintronic Technology and Advance Research Centre Bhubaneswar,https://spintronicbbsr.org,null
14678,Industrial Training Institute Cuttack,https://nic.in,null
21135,Mayurakshi Institute of Engineering and Technology Jodhpur,https://mayurakshi.in,null
16700,Motibai Rajaram Mahavidyalaya Jhansi,https://gmail.com,null
14393,Woxsen University,https://woxsen.edu.in,null
13539,Backstage Pass Institute of Gaming and Technology Hyderabad,https://backstagepass.co.in,null
21147,MET's School of Engineering Mala Thrissur,https://metsengg.ac.in,null
3031,Dr. D.Y. Patil School of Hospitality and Tourism - [DYPDPU SHT] Tathawade,https://dypdpu.edu.in,null
21273,PESCE,https://pesce.ac.in,null
14419,Dr. J. J. Magdum College of Architecture Kolhapur,https://gmail.com,null
21817,Synergy Institute of Technology Dewas,https://yahoo.com,null
13068,New Punjab Polytechnic College Talwandi Sabo,https://gmail.com,null
13090,Onkar College of Pharmacy Sangrur,https://yahoo.com,null
9634,SITAM,https://sitam.co.in,null
20297,Bengal Institute of Technology Kolkata,https://gmail.com,null
18962,Unique College of Law Moradabad,https://rediffmail.com,null
7736,Welingkar Mumbai,https://welingkarmail.org,null
16499,Kuriakose Gregorios College Kottayam,https://kgcollege.ac.in,null
13154,Food Craft Institute Visakhapatnam,https://gmail.com,null
17378,Sundarrao Arts Commerce and Science Senior College Raigad,https://rediffmail.com,null
17381,Sunniyya Arabic College Chennamangallur Kozhikode,https://gmail.com,null
18787,GH Raisoni Law School Nagpur,https://raisoni.net,null
14524,Government Polytechnic Sonepat,https://hry.nic.in,null
13880,Khyati Institute of Master of Valuation Ahmedabad,https://khyatifoundation.com,null
22477,AIETSM,https://collegedunia.com/college/17158-amity-institute-of-environmental-toxicology-safety-and-management-noida,null
21284,Poornima College of Engineering Jaipur,https://poornima.org,null
21819,TJ Institute of Technology Chennai,https://tjit.edu.in,null
19809,Anupuma Medical Training Institute College of Nursing Sikar,https://anupamaeducation.com,null
13099,Arasan Ganesan Polytechnic College Sivakasi,https://collegedunia.com/college/61311-arasan-ganesan-polytechnic-college-sivakasi,null
14413,Darjeeling Universal Campus,https://duc.edu.in,null
16508,L.S. Raheja College of Arts and Commerce Mumbai,https://lsraheja.org,null
13592,ECR Group of Institutions Udupi,https://ecredu.com,null
6246,Srinivas Institute of Technology,https://gmail.com,null
16873,Pt. Triyugi Narayan Mahavidyalaya Kanpur Dehat,https://ptncollege.org.in,null
19844,Bhai Gurdas Institute of Nursing Sangrur,https://collegedunia.com/college/11373-bhai-gurdas-institute-of-nursing-bgin-sangrur,null
16869,Pt. Raj Narayan Mishra Degree College Rae Bareli,https://ptrnmishradegreecollege.com,null
3255,DAV Dehradun,https://davpgcollege.com,null
21684,Sri Aravindar Engineering College Villupuram,https://aravindar.com,null
17773,Singem Jewelry Education Kolkata,https://singem.org,null
16518,Lal Bahadur Shastri PG College Jaipur,https://lbscollege.com,null
14188,PTSNS University,https://gmail.com,null
16831,Payyannur College Payyanur Kannur,https://payyanurcollege.ac.in,null
17047,Sanatan Dharam College Ambala,https://sdcollegeambala.org,null
18846,Kerala Law Academy Thiruvananthapuram,https://asiannetindia.com,null
19029,"Atmiya Institute of Pharmacy, Atmiya University Rajkot",https://atmiyauni.ac.in,null
13699,Beehive College of Advanced Studies Dehradun,https://beehivecollege.com,null
14637,PMV Polytechnic Mathura,https://gmail.com,null
18997,Abhilashi College of Pharmacy Mandi,https://gmail.com,null
16988,SGHR Sahib College for Women Hoshiarpur,https://sghrsc.com,null
