title,location
Srajan College of Design Pune,"Maharashtra, Pune"
Bhargava Paramedical College Jammu,"Jammu & Kashmir, Jammu"
Deepshikha Institute of Management Studies Jaipur,"Rajasthan, Jaipur"
ITM Business School Warangal,"Telangana, Warangal"
FGM Government College Hisar,"Haryana, Hisar"
Modinagar Institute of Technology Ghaziabad,"Uttar Pradesh, Ghaziabad"
PVP College of Engineering and Technology for Women Dindigul,"Tamil Nadu, Dindigul"
Swami Vishwatamanand Saraswati Degree College Rajauri,"Jammu & Kashmir, Rajauri"
Kreating Charakters Mumbai,"Maharashtra, Mumbai"
Shri Saibaba College for Teacher's Training Indore,"Madhya Pradesh, Indore"
XIMB,"Odisha, Bhubaneswar"
SMRK BKAK Mahila Maha Vidyalaya Nashik,"Maharashtra, Nashik"
Vidya College of Engineering Meerut,"Uttar Pradesh, Meerut"
Vishwakarma Skill University,"Haryana, Gurugram"
Yashaswi Education Society's International Institute of Management Science Chinchwad,"Maharashtra, Chinchwad"
Indian Institute of Soil Science Bhopal,"Madhya Pradesh, Bhopal"
Sri Vivekananda College Education Mahabubnagar,"Telangana, Mahabubnagar"
ISB Mohali,"Punjab, Mohali"
Kali Charan Nigam Institute of Technology Banda,"Uttar Pradesh, Banda"
Maratha Vidya Prasarak Samaj's Rajarshi Shahu Maharaj Polytechnic Nashik,"Maharashtra, Nashik"
NaliniArvind and T.V. Patel Arts College Vallabh Vidyanagar,"Gujarat, Vallabh Vidyanagar"
Smt. J.J. Kundalia Graduate Teachers College Rajkot,"Gujarat, Rajkot"
Sophia Nursing College Gwalior,"Madhya Pradesh, Gwalior"
Millia Institute of Technology Purnea,"Bihar, Purnea"
Abhaya Group of Institutions Bangalore,"Karnataka, Bangalore"
Adichunchanagiri Institute of Medical Sciences Mandya,"Karnataka, Mandya"
Sree Narayana Guru Memorial Teacher Education College Alappuzha,"Kerala, Alappuzha"
Excel College of Architecture and Planning Namakkal,"Tamil Nadu, Namakkal"
Maa Buddha National Institute of Engineering & Technology College Azamgarh,"Uttar Pradesh, Azamgarh"
Government Polytechnic Imphal,"Manipur, Imphal"
Tritya Maritime Academy New Delhi,"Delhi, Delhi"
Abhay Yuva Kalyan Kendra Sanchalit College of Education Dhule,"Maharashtra, Dhule"
International Institute of Fashion Design Ghatkopar,"Maharashtra, Ghatkopar"
Hindu College of Engineering Sonepat,"Haryana, Sonepat"
Vinuthna College of Management Warangal,"Telangana, Warangal"
Pannai College of Engineering and Technology Sivaganga,"Tamil Nadu, Sivaganga"
Dr Ram Manohar Lohia Institute Modinagar,"Uttar Pradesh, Modinagar"
SR College of Science and Engineering Jhansi,"Uttar Pradesh, Jhansi"
Don Bosco Institute of Management Studies & Computer Application Bangalore,"Karnataka, Bangalore"
Vidyodaya College Belthangady,"Karnataka, Belthangady"
Rajiv Gandhi Government Polytechnic Narwana,"Haryana, Narwana"
SN Bose National Centre for Basic Sciences Saltklake,"West Bengal, Kolkata"
Radha Govind Group of Institutions Meerut,"Uttar Pradesh, Meerut"
NIA Jaipur,"Rajasthan, Jaipur"
CEPT University,"Gujarat, Ahmedabad"
FDDI Hyderabad,"Telangana, Hyderabad"
Shri Baijnath Shiv Kala Mahavidyalaya Barabanki,"Uttar Pradesh, Barabanki"
Tilak Ram Saini Girl's Degree College Saharanpur,"Uttar Pradesh, Saharanpur"
